Crops,Year,average_rain_fall_mm_per_year,pesticides_tonnes,avg_temp,hg/ha_yield
Potatoes,1990,1083.0,75000.0,26.36,157136
Potatoes,1990,1083.0,75000.0,26.91,157136
Potatoes,1990,1083.0,75000.0,25.16,157136
Potatoes,1990,1083.0,75000.0,25.77,157136
Potatoes,1990,1083.0,75000.0,25.12,157136
Potatoes,1990,1083.0,75000.0,24.1,157136
Potatoes,1990,1083.0,75000.0,25.68,157136
Potatoes,1990,1083.0,75000.0,25.54,157136
Potatoes,1990,1083.0,75000.0,25.44,157136
Potatoes,1990,1083.0,75000.0,24.78,157136
Potatoes,1990,1083.0,75000.0,26.59,157136
Potatoes,1990,1083.0,75000.0,24.37,157136
Potatoes,1990,1083.0,75000.0,26.63,157136
Potatoes,1990,1083.0,75000.0,26.63,157136
Potatoes,1990,1083.0,75000.0,25.64,157136
"Rice, paddy",1990,1083.0,75000.0,25.58,26125
"Rice, paddy",1990,1083.0,75000.0,26.88,26125
"Rice, paddy",1990,1083.0,75000.0,25.79,26125
"Rice, paddy",1990,1083.0,75000.0,24.1,26125
"Rice, paddy",1990,1083.0,75000.0,25.25,26125
"Rice, paddy",1990,1083.0,75000.0,25.44,26125
"Rice, paddy",1990,1083.0,75000.0,25.54,26125
"Rice, paddy",1990,1083.0,75000.0,26.36,26125
"Rice, paddy",1990,1083.0,75000.0,26.91,26125
"Rice, paddy",1990,1083.0,75000.0,25.16,26125
"Rice, paddy",1990,1083.0,75000.0,25.77,26125
"Rice, paddy",1990,1083.0,75000.0,25.12,26125
"Rice, paddy",1990,1083.0,75000.0,24.1,26125
"Rice, paddy",1990,1083.0,75000.0,25.68,26125
"Rice, paddy",1990,1083.0,75000.0,25.54,26125
"Rice, paddy",1990,1083.0,75000.0,25.44,26125
"Rice, paddy",1990,1083.0,75000.0,24.78,26125
"Rice, paddy",1990,1083.0,75000.0,26.59,26125
"Rice, paddy",1990,1083.0,75000.0,24.37,26125
"Rice, paddy",1990,1083.0,75000.0,26.63,26125
"Rice, paddy",1990,1083.0,75000.0,26.63,26125
"Rice, paddy",1990,1083.0,75000.0,25.64,26125
Sorghum,1990,1083.0,75000.0,25.58,8136
Sorghum,1990,1083.0,75000.0,26.88,8136
Sorghum,1990,1083.0,75000.0,25.79,8136
Sorghum,1990,1083.0,75000.0,24.1,8136
Sorghum,1990,1083.0,75000.0,25.25,8136
Sorghum,1990,1083.0,75000.0,25.44,8136
Sorghum,1990,1083.0,75000.0,25.54,8136
Sorghum,1990,1083.0,75000.0,26.36,8136
Sorghum,1990,1083.0,75000.0,26.91,8136
Sorghum,1990,1083.0,75000.0,25.16,8136
Sorghum,1990,1083.0,75000.0,25.77,8136
Sorghum,1990,1083.0,75000.0,25.12,8136
Sorghum,1990,1083.0,75000.0,24.1,8136
Sorghum,1990,1083.0,75000.0,25.68,8136
Sorghum,1990,1083.0,75000.0,25.54,8136
Sorghum,1990,1083.0,75000.0,25.44,8136
Sorghum,1990,1083.0,75000.0,24.78,8136
Sorghum,1990,1083.0,75000.0,26.59,8136
Sorghum,1990,1083.0,75000.0,24.37,8136
Sorghum,1990,1083.0,75000.0,26.63,8136
Sorghum,1990,1083.0,75000.0,26.63,8136
Sorghum,1990,1083.0,75000.0,25.64,8136
Soybeans,1990,1083.0,75000.0,25.58,10145
Soybeans,1990,1083.0,75000.0,26.88,10145
Soybeans,1990,1083.0,75000.0,25.79,10145
Soybeans,1990,1083.0,75000.0,24.1,10145
Soybeans,1990,1083.0,75000.0,25.25,10145
Soybeans,1990,1083.0,75000.0,25.44,10145
Soybeans,1990,1083.0,75000.0,25.54,10145
Soybeans,1990,1083.0,75000.0,26.36,10145
Soybeans,1990,1083.0,75000.0,26.91,10145
Soybeans,1990,1083.0,75000.0,25.16,10145
Soybeans,1990,1083.0,75000.0,25.77,10145
Soybeans,1990,1083.0,75000.0,25.12,10145
Soybeans,1990,1083.0,75000.0,24.1,10145
Soybeans,1990,1083.0,75000.0,25.68,10145
Soybeans,1990,1083.0,75000.0,25.54,10145
Soybeans,1990,1083.0,75000.0,25.44,10145
Soybeans,1990,1083.0,75000.0,24.78,10145
Soybeans,1990,1083.0,75000.0,26.59,10145
Soybeans,1990,1083.0,75000.0,24.37,10145
Soybeans,1990,1083.0,75000.0,26.63,10145
Soybeans,1990,1083.0,75000.0,26.63,10145
Soybeans,1990,1083.0,75000.0,25.64,10145
Sweet potatoes,1990,1083.0,75000.0,25.58,79663
Sweet potatoes,1990,1083.0,75000.0,26.88,79663
Sweet potatoes,1990,1083.0,75000.0,25.79,79663
Sweet potatoes,1990,1083.0,75000.0,24.1,79663
Sweet potatoes,1990,1083.0,75000.0,25.25,79663
Sweet potatoes,1990,1083.0,75000.0,25.44,79663
Sweet potatoes,1990,1083.0,75000.0,25.54,79663
Sweet potatoes,1990,1083.0,75000.0,26.36,79663
Sweet potatoes,1990,1083.0,75000.0,26.91,79663
Sweet potatoes,1990,1083.0,75000.0,25.16,79663
Sweet potatoes,1990,1083.0,75000.0,25.77,79663
Sweet potatoes,1990,1083.0,75000.0,25.12,79663
Sweet potatoes,1990,1083.0,75000.0,24.1,79663
Sweet potatoes,1990,1083.0,75000.0,25.68,79663
Sweet potatoes,1990,1083.0,75000.0,25.54,79663
Sweet potatoes,1990,1083.0,75000.0,25.44,79663
Sweet potatoes,1990,1083.0,75000.0,24.78,79663
Sweet potatoes,1990,1083.0,75000.0,26.59,79663
Sweet potatoes,1990,1083.0,75000.0,24.37,79663
Sweet potatoes,1990,1083.0,75000.0,26.63,79663
Sweet potatoes,1990,1083.0,75000.0,26.63,79663
Sweet potatoes,1990,1083.0,75000.0,25.64,79663
Wheat,1990,1083.0,75000.0,25.58,21211
Wheat,1990,1083.0,75000.0,26.88,21211
Wheat,1990,1083.0,75000.0,25.79,21211
Wheat,1990,1083.0,75000.0,24.1,21211
Wheat,1990,1083.0,75000.0,25.25,21211
Wheat,1990,1083.0,75000.0,25.44,21211
Wheat,1990,1083.0,75000.0,25.54,21211
Wheat,1990,1083.0,75000.0,26.36,21211
Wheat,1990,1083.0,75000.0,26.91,21211
Wheat,1990,1083.0,75000.0,25.16,21211
Wheat,1990,1083.0,75000.0,25.77,21211
Wheat,1990,1083.0,75000.0,25.12,21211
Wheat,1990,1083.0,75000.0,24.1,21211
Wheat,1990,1083.0,75000.0,25.68,21211
Wheat,1990,1083.0,75000.0,25.54,21211
Wheat,1990,1083.0,75000.0,25.44,21211
Wheat,1990,1083.0,75000.0,24.78,21211
Wheat,1990,1083.0,75000.0,26.59,21211
Wheat,1990,1083.0,75000.0,24.37,21211
Wheat,1990,1083.0,75000.0,26.63,21211
Wheat,1990,1083.0,75000.0,26.63,21211
Wheat,1990,1083.0,75000.0,25.64,21211
Cassava,1991,1083.0,72133.0,25.85,218925
Cassava,1991,1083.0,72133.0,26.9,218925
Cassava,1991,1083.0,72133.0,25.96,218925
Cassava,1991,1083.0,72133.0,23.77,218925
Cassava,1991,1083.0,72133.0,25.49,218925
Cassava,1991,1083.0,72133.0,25.82,218925
Cassava,1991,1083.0,72133.0,25.74,218925
Cassava,1991,1083.0,72133.0,26.54,218925
Cassava,1991,1083.0,72133.0,27.35,218925
Cassava,1991,1083.0,72133.0,25.4,218925
Cassava,1991,1083.0,72133.0,25.99,218925
Cassava,1991,1083.0,72133.0,25.32,218925
Cassava,1991,1083.0,72133.0,23.77,218925
Cassava,1991,1083.0,72133.0,26.2,218925
Cassava,1991,1083.0,72133.0,25.74,218925
Cassava,1991,1083.0,72133.0,25.55,218925
Cassava,1991,1083.0,72133.0,25.06,218925
Cassava,1991,1083.0,72133.0,26.34,218925
Cassava,1991,1083.0,72133.0,24.62,218925
Cassava,1991,1083.0,72133.0,26.7,218925
Cassava,1991,1083.0,72133.0,26.7,218925
Cassava,1991,1083.0,72133.0,25.74,218925
Maize,1991,1083.0,72133.0,25.85,13763
Maize,1991,1083.0,72133.0,26.9,13763
Maize,1991,1083.0,72133.0,25.96,13763
Maize,1991,1083.0,72133.0,23.77,13763
Maize,1991,1083.0,72133.0,25.49,13763
Maize,1991,1083.0,72133.0,25.82,13763
Maize,1991,1083.0,72133.0,25.74,13763
Maize,1991,1083.0,72133.0,26.54,13763
Maize,1991,1083.0,72133.0,27.35,13763
Maize,1991,1083.0,72133.0,25.4,13763
Maize,1991,1083.0,72133.0,25.99,13763
Maize,1991,1083.0,72133.0,25.32,13763
Maize,1991,1083.0,72133.0,23.77,13763
Maize,1991,1083.0,72133.0,26.2,13763
Maize,1991,1083.0,72133.0,25.74,13763
Maize,1991,1083.0,72133.0,25.55,13763
Maize,1991,1083.0,72133.0,25.06,13763
Maize,1991,1083.0,72133.0,26.34,13763
Maize,1991,1083.0,72133.0,24.62,13763
Maize,1991,1083.0,72133.0,26.7,13763
Maize,1991,1083.0,72133.0,26.7,13763
Maize,1991,1083.0,72133.0,25.74,13763
Potatoes,1991,1083.0,72133.0,25.85,162540
Potatoes,1991,1083.0,72133.0,26.9,162540
Potatoes,1991,1083.0,72133.0,25.96,162540
Potatoes,1991,1083.0,72133.0,23.77,162540
Potatoes,1991,1083.0,72133.0,25.49,162540
Potatoes,1991,1083.0,72133.0,25.82,162540
Potatoes,1991,1083.0,72133.0,25.74,162540
Potatoes,1991,1083.0,72133.0,26.54,162540
Potatoes,1991,1083.0,72133.0,27.35,162540
Potatoes,1991,1083.0,72133.0,25.4,162540
Potatoes,1991,1083.0,72133.0,25.99,162540
Potatoes,1991,1083.0,72133.0,25.32,162540
Potatoes,1991,1083.0,72133.0,23.77,162540
Potatoes,1991,1083.0,72133.0,26.2,162540
Potatoes,1991,1083.0,72133.0,25.74,162540
Potatoes,1991,1083.0,72133.0,25.55,162540
Potatoes,1991,1083.0,72133.0,25.06,162540
Potatoes,1991,1083.0,72133.0,26.34,162540
Potatoes,1991,1083.0,72133.0,24.62,162540
Potatoes,1991,1083.0,72133.0,26.7,162540
Potatoes,1991,1083.0,72133.0,26.7,162540
Potatoes,1991,1083.0,72133.0,25.74,162540
"Rice, paddy",1991,1083.0,72133.0,25.85,26271
"Rice, paddy",1991,1083.0,72133.0,26.9,26271
"Rice, paddy",1991,1083.0,72133.0,25.96,26271
"Rice, paddy",1991,1083.0,72133.0,23.77,26271
"Rice, paddy",1991,1083.0,72133.0,25.49,26271
"Rice, paddy",1991,1083.0,72133.0,25.82,26271
"Rice, paddy",1991,1083.0,72133.0,25.74,26271
"Rice, paddy",1991,1083.0,72133.0,26.54,26271
"Rice, paddy",1991,1083.0,72133.0,27.35,26271
"Rice, paddy",1991,1083.0,72133.0,25.4,26271
"Rice, paddy",1991,1083.0,72133.0,25.99,26271
"Rice, paddy",1991,1083.0,72133.0,25.32,26271
"Rice, paddy",1991,1083.0,72133.0,23.77,26271
"Rice, paddy",1991,1083.0,72133.0,26.2,26271
"Rice, paddy",1991,1083.0,72133.0,25.74,26271
"Rice, paddy",1991,1083.0,72133.0,25.55,26271
"Rice, paddy",1991,1083.0,72133.0,25.06,26271
"Rice, paddy",1991,1083.0,72133.0,26.34,26271
"Rice, paddy",1991,1083.0,72133.0,24.62,26271
"Rice, paddy",1991,1083.0,72133.0,26.7,26271
"Rice, paddy",1991,1083.0,72133.0,26.7,26271
"Rice, paddy",1991,1083.0,72133.0,25.74,26271
Sorghum,1991,1083.0,72133.0,25.85,6553
Sorghum,1991,1083.0,72133.0,26.9,6553
Sorghum,1991,1083.0,72133.0,25.96,6553
Sorghum,1991,1083.0,72133.0,23.77,6553
Sorghum,1991,1083.0,72133.0,25.49,6553
Sorghum,1991,1083.0,72133.0,25.82,6553
Sorghum,1991,1083.0,72133.0,25.74,6553
Sorghum,1991,1083.0,72133.0,26.54,6553
Sorghum,1991,1083.0,72133.0,27.35,6553
Sorghum,1991,1083.0,72133.0,25.4,6553
Sorghum,1991,1083.0,72133.0,25.99,6553
Sorghum,1991,1083.0,72133.0,25.32,6553
Sorghum,1991,1083.0,72133.0,23.77,6553
Sorghum,1991,1083.0,72133.0,26.2,6553
Sorghum,1991,1083.0,72133.0,25.74,6553
Sorghum,1991,1083.0,72133.0,25.55,6553
Sorghum,1991,1083.0,72133.0,25.06,6553
Sorghum,1991,1083.0,72133.0,26.34,6553
Sorghum,1991,1083.0,72133.0,24.62,6553
Sorghum,1991,1083.0,72133.0,26.7,6553
Sorghum,1991,1083.0,72133.0,26.7,6553
Sorghum,1991,1083.0,72133.0,25.74,6553
Soybeans,1991,1083.0,72133.0,25.85,7825
Soybeans,1991,1083.0,72133.0,26.9,7825
Soybeans,1991,1083.0,72133.0,25.96,7825
Soybeans,1991,1083.0,72133.0,23.77,7825
Soybeans,1991,1083.0,72133.0,25.49,7825
Soybeans,1991,1083.0,72133.0,25.82,7825
Soybeans,1991,1083.0,72133.0,25.74,7825
Soybeans,1991,1083.0,72133.0,26.54,7825
Soybeans,1991,1083.0,72133.0,27.35,7825
Soybeans,1991,1083.0,72133.0,25.4,7825
Soybeans,1991,1083.0,72133.0,25.99,7825
Soybeans,1991,1083.0,72133.0,25.32,7825
Soybeans,1991,1083.0,72133.0,23.77,7825
Soybeans,1991,1083.0,72133.0,26.2,7825
Soybeans,1991,1083.0,72133.0,25.74,7825
Soybeans,1991,1083.0,72133.0,25.55,7825
Soybeans,1991,1083.0,72133.0,25.06,7825
Soybeans,1991,1083.0,72133.0,26.34,7825
Soybeans,1991,1083.0,72133.0,24.62,7825
Soybeans,1991,1083.0,72133.0,26.7,7825
Soybeans,1991,1083.0,72133.0,26.7,7825
Soybeans,1991,1083.0,72133.0,25.74,7825
Sweet potatoes,1991,1083.0,72133.0,25.85,83453
Sweet potatoes,1991,1083.0,72133.0,26.9,83453
Sweet potatoes,1991,1083.0,72133.0,25.96,83453
Sweet potatoes,1991,1083.0,72133.0,23.77,83453
Sweet potatoes,1991,1083.0,72133.0,25.49,83453
Sweet potatoes,1991,1083.0,72133.0,25.82,83453
Sweet potatoes,1991,1083.0,72133.0,25.74,83453
Sweet potatoes,1991,1083.0,72133.0,26.54,83453
Sweet potatoes,1991,1083.0,72133.0,27.35,83453
Sweet potatoes,1991,1083.0,72133.0,25.4,83453
Sweet potatoes,1991,1083.0,72133.0,25.99,83453
Sweet potatoes,1991,1083.0,72133.0,25.32,83453
Sweet potatoes,1991,1083.0,72133.0,23.77,83453
Sweet potatoes,1991,1083.0,72133.0,26.2,83453
Sweet potatoes,1991,1083.0,72133.0,25.74,83453
Sweet potatoes,1991,1083.0,72133.0,25.55,83453
Sweet potatoes,1991,1083.0,72133.0,25.06,83453
Sweet potatoes,1991,1083.0,72133.0,26.34,83453
Sweet potatoes,1991,1083.0,72133.0,24.62,83453
Sweet potatoes,1991,1083.0,72133.0,26.7,83453
Sweet potatoes,1991,1083.0,72133.0,26.7,83453
Sweet potatoes,1991,1083.0,72133.0,25.74,83453
Wheat,1991,1083.0,72133.0,25.85,22814
Wheat,1991,1083.0,72133.0,26.9,22814
Wheat,1991,1083.0,72133.0,25.96,22814
Wheat,1991,1083.0,72133.0,23.77,22814
Wheat,1991,1083.0,72133.0,25.49,22814
Wheat,1991,1083.0,72133.0,25.82,22814
Wheat,1991,1083.0,72133.0,25.74,22814
Wheat,1991,1083.0,72133.0,26.54,22814
Wheat,1991,1083.0,72133.0,27.35,22814
Wheat,1991,1083.0,72133.0,25.4,22814
Wheat,1991,1083.0,72133.0,25.99,22814
Wheat,1991,1083.0,72133.0,25.32,22814
Wheat,1991,1083.0,72133.0,23.77,22814
Wheat,1991,1083.0,72133.0,26.2,22814
Wheat,1991,1083.0,72133.0,25.74,22814
Wheat,1991,1083.0,72133.0,25.55,22814
Wheat,1991,1083.0,72133.0,25.06,22814
Wheat,1991,1083.0,72133.0,26.34,22814
Wheat,1991,1083.0,72133.0,24.62,22814
Wheat,1991,1083.0,72133.0,26.7,22814
Wheat,1991,1083.0,72133.0,26.7,22814
Wheat,1991,1083.0,72133.0,25.74,22814
Cassava,1992,1083.0,70791.0,25.69,232463
Cassava,1992,1083.0,70791.0,26.82,232463
Cassava,1992,1083.0,70791.0,26.09,232463
Cassava,1992,1083.0,70791.0,23.79,232463
Cassava,1992,1083.0,70791.0,25.16,232463
Cassava,1992,1083.0,70791.0,25.91,232463
Cassava,1992,1083.0,70791.0,25.52,232463
Cassava,1992,1083.0,70791.0,26.41,232463
Cassava,1992,1083.0,70791.0,27.24,232463
Cassava,1992,1083.0,70791.0,25.41,232463
Cassava,1992,1083.0,70791.0,25.73,232463
Cassava,1992,1083.0,70791.0,25.27,232463
Cassava,1992,1083.0,70791.0,23.79,232463
Cassava,1992,1083.0,70791.0,26.32,232463
Cassava,1992,1083.0,70791.0,25.52,232463
Cassava,1992,1083.0,70791.0,25.58,232463
Cassava,1992,1083.0,70791.0,25.14,232463
Cassava,1992,1083.0,70791.0,26.37,232463
Cassava,1992,1083.0,70791.0,24.62,232463
Cassava,1992,1083.0,70791.0,26.78,232463
Cassava,1992,1083.0,70791.0,26.78,232463
Cassava,1992,1083.0,70791.0,25.89,232463
Maize,1992,1083.0,70791.0,25.69,16758
Maize,1992,1083.0,70791.0,26.82,16758
Maize,1992,1083.0,70791.0,26.09,16758
Maize,1992,1083.0,70791.0,23.79,16758
Maize,1992,1083.0,70791.0,25.16,16758
Maize,1992,1083.0,70791.0,25.91,16758
Maize,1992,1083.0,70791.0,25.52,16758
Maize,1992,1083.0,70791.0,26.41,16758
Maize,1992,1083.0,70791.0,27.24,16758
Maize,1992,1083.0,70791.0,25.41,16758
Maize,1992,1083.0,70791.0,25.73,16758
Maize,1992,1083.0,70791.0,25.27,16758
Maize,1992,1083.0,70791.0,23.79,16758
Maize,1992,1083.0,70791.0,26.32,16758
Maize,1992,1083.0,70791.0,25.52,16758
Maize,1992,1083.0,70791.0,25.58,16758
Maize,1992,1083.0,70791.0,25.14,16758
Maize,1992,1083.0,70791.0,26.37,16758
Maize,1992,1083.0,70791.0,24.62,16758
Maize,1992,1083.0,70791.0,26.78,16758
Maize,1992,1083.0,70791.0,26.78,16758
Maize,1992,1083.0,70791.0,25.89,16758
Potatoes,1992,1083.0,70791.0,25.69,160294
Potatoes,1992,1083.0,70791.0,26.82,160294
Potatoes,1992,1083.0,70791.0,26.09,160294
Potatoes,1992,1083.0,70791.0,23.79,160294
Potatoes,1992,1083.0,70791.0,25.16,160294
Potatoes,1992,1083.0,70791.0,25.91,160294
Potatoes,1992,1083.0,70791.0,25.52,160294
Potatoes,1992,1083.0,70791.0,26.41,160294
Potatoes,1992,1083.0,70791.0,27.24,160294
Potatoes,1992,1083.0,70791.0,25.41,160294
Potatoes,1992,1083.0,70791.0,25.73,160294
Potatoes,1992,1083.0,70791.0,25.27,160294
Potatoes,1992,1083.0,70791.0,23.79,160294
Potatoes,1992,1083.0,70791.0,26.32,160294
Potatoes,1992,1083.0,70791.0,25.52,160294
Potatoes,1992,1083.0,70791.0,25.58,160294
Potatoes,1992,1083.0,70791.0,25.14,160294
Potatoes,1992,1083.0,70791.0,26.37,160294
Potatoes,1992,1083.0,70791.0,24.62,160294
Potatoes,1992,1083.0,70791.0,26.78,160294
Potatoes,1992,1083.0,70791.0,26.78,160294
Potatoes,1992,1083.0,70791.0,25.89,160294
"Rice, paddy",1992,1083.0,70791.0,25.69,26092
"Rice, paddy",1992,1083.0,70791.0,26.82,26092
"Rice, paddy",1992,1083.0,70791.0,26.09,26092
"Rice, paddy",1992,1083.0,70791.0,23.79,26092
"Rice, paddy",1992,1083.0,70791.0,25.16,26092
"Rice, paddy",1992,1083.0,70791.0,25.91,26092
"Rice, paddy",1992,1083.0,70791.0,25.52,26092
"Rice, paddy",1992,1083.0,70791.0,26.41,26092
"Rice, paddy",1992,1083.0,70791.0,27.24,26092
"Rice, paddy",1992,1083.0,70791.0,25.41,26092
"Rice, paddy",1992,1083.0,70791.0,25.73,26092
"Rice, paddy",1992,1083.0,70791.0,25.27,26092
"Rice, paddy",1992,1083.0,70791.0,23.79,26092
"Rice, paddy",1992,1083.0,70791.0,26.32,26092
"Rice, paddy",1992,1083.0,70791.0,25.52,26092
"Rice, paddy",1992,1083.0,70791.0,25.58,26092
"Rice, paddy",1992,1083.0,70791.0,25.14,26092
"Rice, paddy",1992,1083.0,70791.0,26.37,26092
"Rice, paddy",1992,1083.0,70791.0,24.62,26092
"Rice, paddy",1992,1083.0,70791.0,26.78,26092
"Rice, paddy",1992,1083.0,70791.0,26.78,26092
"Rice, paddy",1992,1083.0,70791.0,25.89,26092
Sorghum,1992,1083.0,70791.0,25.69,9820
Sorghum,1992,1083.0,70791.0,26.82,9820
Sorghum,1992,1083.0,70791.0,26.09,9820
Sorghum,1992,1083.0,70791.0,23.79,9820
Sorghum,1992,1083.0,70791.0,25.16,9820
Sorghum,1992,1083.0,70791.0,25.91,9820
Sorghum,1992,1083.0,70791.0,25.52,9820
Sorghum,1992,1083.0,70791.0,26.41,9820
Sorghum,1992,1083.0,70791.0,27.24,9820
Sorghum,1992,1083.0,70791.0,25.41,9820
Sorghum,1992,1083.0,70791.0,25.73,9820
Sorghum,1992,1083.0,70791.0,25.27,9820
Sorghum,1992,1083.0,70791.0,23.79,9820
Sorghum,1992,1083.0,70791.0,26.32,9820
Sorghum,1992,1083.0,70791.0,25.52,9820
Sorghum,1992,1083.0,70791.0,25.58,9820
Sorghum,1992,1083.0,70791.0,25.14,9820
Sorghum,1992,1083.0,70791.0,26.37,9820
Sorghum,1992,1083.0,70791.0,24.62,9820
Sorghum,1992,1083.0,70791.0,26.78,9820
Sorghum,1992,1083.0,70791.0,26.78,9820
Sorghum,1992,1083.0,70791.0,25.89,9820
Soybeans,1992,1083.0,70791.0,25.69,8947
Soybeans,1992,1083.0,70791.0,26.82,8947
Soybeans,1992,1083.0,70791.0,26.09,8947
Soybeans,1992,1083.0,70791.0,23.79,8947
Soybeans,1992,1083.0,70791.0,25.16,8947
Soybeans,1992,1083.0,70791.0,25.91,8947
Soybeans,1992,1083.0,70791.0,25.52,8947
Soybeans,1992,1083.0,70791.0,26.41,8947
Soybeans,1992,1083.0,70791.0,27.24,8947
Soybeans,1992,1083.0,70791.0,25.41,8947
Soybeans,1992,1083.0,70791.0,25.73,8947
Soybeans,1992,1083.0,70791.0,25.27,8947
Soybeans,1992,1083.0,70791.0,23.79,8947
Soybeans,1992,1083.0,70791.0,26.32,8947
Soybeans,1992,1083.0,70791.0,25.52,8947
Soybeans,1992,1083.0,70791.0,25.58,8947
Soybeans,1992,1083.0,70791.0,25.14,8947
Soybeans,1992,1083.0,70791.0,26.37,8947
Soybeans,1992,1083.0,70791.0,24.62,8947
Soybeans,1992,1083.0,70791.0,26.78,8947
Soybeans,1992,1083.0,70791.0,26.78,8947
Soybeans,1992,1083.0,70791.0,25.89,8947
Sweet potatoes,1992,1083.0,70791.0,25.69,82835
Sweet potatoes,1992,1083.0,70791.0,26.82,82835
Sweet potatoes,1992,1083.0,70791.0,26.09,82835
Sweet potatoes,1992,1083.0,70791.0,23.79,82835
Sweet potatoes,1992,1083.0,70791.0,25.16,82835
Sweet potatoes,1992,1083.0,70791.0,25.91,82835
Sweet potatoes,1992,1083.0,70791.0,25.52,82835
Sweet potatoes,1992,1083.0,70791.0,26.41,82835
Sweet potatoes,1992,1083.0,70791.0,27.24,82835
Sweet potatoes,1992,1083.0,70791.0,25.41,82835
Sweet potatoes,1992,1083.0,70791.0,25.73,82835
Sweet potatoes,1992,1083.0,70791.0,25.27,82835
Sweet potatoes,1992,1083.0,70791.0,23.79,82835
Sweet potatoes,1992,1083.0,70791.0,26.32,82835
Sweet potatoes,1992,1083.0,70791.0,25.52,82835
Sweet potatoes,1992,1083.0,70791.0,25.58,82835
Sweet potatoes,1992,1083.0,70791.0,25.14,82835
Sweet potatoes,1992,1083.0,70791.0,26.37,82835
Sweet potatoes,1992,1083.0,70791.0,24.62,82835
Sweet potatoes,1992,1083.0,70791.0,26.78,82835
Sweet potatoes,1992,1083.0,70791.0,26.78,82835
Sweet potatoes,1992,1083.0,70791.0,25.89,82835
Wheat,1992,1083.0,70791.0,25.69,23940
Wheat,1992,1083.0,70791.0,26.82,23940
Wheat,1992,1083.0,70791.0,26.09,23940
Wheat,1992,1083.0,70791.0,23.79,23940
Wheat,1992,1083.0,70791.0,25.16,23940
Wheat,1992,1083.0,70791.0,25.91,23940
Wheat,1992,1083.0,70791.0,25.52,23940
Wheat,1992,1083.0,70791.0,26.41,23940
Wheat,1992,1083.0,70791.0,27.24,23940
Wheat,1992,1083.0,70791.0,25.41,23940
Wheat,1992,1083.0,70791.0,25.73,23940
Wheat,1992,1083.0,70791.0,25.27,23940
Wheat,1992,1083.0,70791.0,23.79,23940
Wheat,1992,1083.0,70791.0,26.32,23940
Wheat,1992,1083.0,70791.0,25.52,23940
Wheat,1992,1083.0,70791.0,25.58,23940
Wheat,1992,1083.0,70791.0,25.14,23940
Wheat,1992,1083.0,70791.0,26.37,23940
Wheat,1992,1083.0,70791.0,24.62,23940
Wheat,1992,1083.0,70791.0,26.78,23940
Wheat,1992,1083.0,70791.0,26.78,23940
Wheat,1992,1083.0,70791.0,25.89,23940
Cassava,1993,1083.0,66388.0,25.88,230430
